Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13
CATEGORY	NAME	EN_US	EN_GB	RU_RU	IT_IT	JA_JP	CS_CZ	TOK	DE_DE	ES_CL	ES_MX	ES_ES
root	translation_author	Translated by BubbleFish	Translated by BubbleFish	Перевод: BubbleFish	Tradotto da FBreakDance30	dorlonkho	Překlad: Švára	ante toki: jan Suwala (Švára)	Übersetzt von Atten007	Traducido por Starsoon	Traducido por Starsoon	Traducido por Starsoon
root	validate_pack_v1	%s Resource pack is successfully detected		%s Пакет ресурсов обнаружен успешно	%s Il pacchetto è stato rilevato con successo		%s Balíček modifikací byl úspěšně detekován	%s ilo li ken lukin e poki sitelen	%s Ressourcenpaket erfolgreich erkannt	%s El paquete de recursos ha sido detectado exitosamente	%s El paquete de recursos ha sido detectado exitosamente	%s El paquete de recursos ha sido detectado correctamente
group	furniture	%s Furniture		%s Мебель	Mobili	家具	%s Nábytek	%s supa	%s Möbel	%s Muebles	%s Muebles	%s Mobiliario
group	technology	%s Technology		%s Технологии	Tecnologia	セキュリティー	%s Technologie	%s ilo	%s Technologien	%s Tecnología	%s Tecnología	%s Electrónica
group	food	%s Food		%s Еда	Cibo	食べ物	%s Jídlo	%s moku	%s Nahrung	%s Comida	%s Comida	%s Alimentos
group	miscellaneous	%s Miscellaneous		%s Прочее	Varie	その他	%s Ostatní	%s ante	%s Sonstiges	%s Varios	%s Varios	%s Otros
block	bubble_bench	Bubble Bench		Бабл Верстак	Banco bolla	バブルベンチ	Bubblův stůl	supa pali pi jan Papu	Blasenbank	Mesa Burbuja	Mesa Burbuja	Mesa Burbuja
block	oak_table	Oak Table		Дубовый Стол	Tavolo di quercia	オークのテーブル	Dubový stůl	supa moku pi kasi kili	Eichenholztisch	Mesa de Roble	Mesa de Roble	Mesa de Roble
block	spruce_table	Spruce Table		Еловый Стол	Tavolo di abete	トウヒのテーブル	Smrkový stůl	supa moku pi kasi lete	Fichtenholztisch	Mesa de Abeto	Mesa de Abeto	Mesa de Abeto
block	birch_table	Birch Table		Берëзовый Стол	Tavolo di betulla	シラカバのテーブル	Březový stůl	supa moku pi kasi walo	Birkenholztisch	Mesa de Abedul	Mesa de Abedul	Mesa de Abedul
block	jungle_table	Jungle Table		Стол из тропического дерева	Tavolo della giungla	ジャングルのテーブル	Stůl z tropického dřeva	supa moku pi kasi suli	Tropenholztisch	Mesa Jungla	Mesa Jungla	Mesa Jungla
block	acacia_table	Acacia Table		Акациевый Стол	Tavolo di acacia	アカシアのテーブル	Akáciový stůl	supa moku pi kasi seli	Akazienholztisch	Mesa de Acacia	Mesa de Acacia	Mesa de Acacia
block	bamboo_table	Bamboo Table		Стол из бамбука	Tavolo di bambù		Bambusový stůl	supa moku pi kasi palisa	Bambustisch	Mesa de Bambú	Mesa de Bambú	Mesa de Bambú
block	dark_oak_table	Dark Oak Table		Стол из тëмного дуба	Tavolo di quercia scura	ダークオークのテーブル	Stůl z tmavého dubu	supa moku pi kasi pimeja	Schwarzeichenholztisch	Mesa de Roble Oscuro	Mesa de Roble Oscuro	Mesa de Roble Oscuro
block	mangrove_table	Mangrove Table		Мангровый Стол	Tavolo di mangrovia		Kořenovníkový stůl	supa moku pi kasi telo	Mangrovenholztisch	Mesa de Mangle	Mesa de Mangle	Mesa de Mangle
block	cherry_table	Cherry Table		Вишнёвый Стол	Tavolo di ciliegio		Třešňový stůl	Třešňový stůl	Kirschholztisch	Mesa de Cereza	Mesa de Cereza	Mesa de Cereza
block	crimson_table	Crimson Table		Багровый Стол	Tavolo cremisi	真紅のテーブル	Karmínový stůl	supa moku pi soko loje	Karmesintisch	Mesa Carmesí	Mesa Carmesí	Mesa Carmesí
block	warped_table	Warped Table		Искажëнный Стол	Tavolo distorto	歪んだテーブル	Přízračný stůl	supa moku pi soko laso	Wirrtisch	Mesa Distorsionada	Mesa Distorsionada	Mesa Distorsionada
block	stone_table	Stone Table		Каменный Стол	Tavolo di pietra	石のテーブル	Kamenný stůl	supa moku kiwen	Steintisch	Mesa de Piedra	Mesa de Piedra	Mesa de Piedra
block	quartz_table	Quartz Table		Кварцевый Стол	Tavolo di quarzo		Křemenný stůl	supa moku pi kiwen walo seli	Quarztisch	Mesa de Cuarzo	Mesa de Cuarzo	Mesa de Cuarzo
block	deepslate_table	Deepslate Table		Глубинносланцевый Стол	Tavolo di ardesia profonda		Břidlicový stůl	supa moku pi kiwen anpa	Tiefenschiefertisch	Mesa de Pizarra Abismal	Mesa de Pizarra Profunda	Mesa de Pizarra Profunda
block	iron_table	Iron Table		Железный Стол	Tavolo di ferro		Železný stůl	supa moku pi kiwen walo	Eisentisch	Mesa de Hierro	Mesa de Hierro	Mesa de Hierro
block	copper_table	Copper Table		Медный Стол	Tavolo di rame		Měděný stůl	supa moku pi kiwen ante	Kupfertisch	Mesa de Cobre	Mesa de Cobre	Mesa de Cobre
block	gold_table	Golden Table		Золотой Стол	Tavolo d'oro		Zlatý stůl	supa moku pi kiwen jelo	Goldtisch	Mesa de Oro	Mesa de Oro	Mesa de Oro
block	diamond_table	Diamond Table		Алмазный Стол	Tavolo di diamante		Diamantový stůl	supa moku pi kiwen laso	Diamanttisch	Mesa de Diamante	Mesa de Diamante	Mesa de Diamante
block	emerald_table	Emerald Table		Изумрудный Стол	Tavolo di smeraldo		Smaragdový stůl	supa moku pi kiwen esun	Smaragdtisch	Mesa de Esmeralda	Mesa de Esmeralda	Mesa de Esmeralda
block	netherite_table	Netherite Table		Незеритовый Стол	Tavolo di netherite		Netheritový stůl	supa moku pi mani Netherite	Netherittisch	Mesa de Netherita	Mesa de Netherita	Mesa de Netherita
block	oak_shelf	Oak Shelf		Дубовая Полка	Mensola di quercia	オークの壁掛け棚	Dubová police	supa sinpin pi kasi kili	Eichenholzregal	Repisa de Roble	Estantería de Roble	Estantería de Roble
block	spruce_shelf	Spruce Shelf		Еловая Полка	Mensola di abete	トウヒの壁掛け棚	Smrková police	supa sinpin pi kasi lete	Fichtenholzregal	Repisa de Abeto	Estantería de Abeto	Estantería de Abeto
block	birch_shelf	Birch Shelf		Берëзовая Полка	Mensola di betulla	シラカバの壁掛け棚	Březová police	supa sinpin pi kasi walo	Birkenholzregal	Repisa de Abedul	Estantería de Abedul	Estantería de Abedul
block	jungle_shelf	Jungle Shelf		Полка из тропического дерева	Mensola della giungla	ジャングルの壁掛け棚	Police z tropického dřeva	supa sinpin pi kasi suli	Tropenholzregal	Repisa Jungla	Estantería Jungla	Estantería Jungla
block	acacia_shelf	Acacia Shelf		Акациевая Полка	Mensola di acacia	アカシアの壁掛け棚	Akáciová police	supa sinpin pi kasi seli	Akazienholzregal	Repisa de Acacia	Estantería de Acacia	Estantería de Acacia
block	bamboo_shelf	Bamboo Shelf		Полка из бамбука	Mensola di bambù		Bambusová police	supa sinpin pi kasi palisa	Bambusregal	Repisa de Bambú	Estantería de Bambú	Estantería de Bambú
block	dark_oak_shelf	Dark Oak Shelf		Полка из тëмного дуба	Mensola di quercia scura	ダークオークの壁掛け棚	Police z tmavého dubu	supa sinpin pi kasi pimeja	Schwarzeichenholzregal	Repisa de Roble Oscuro	Estantería de Roble Oscuro	Estantería de Roble Oscuro
block	mangrove_shelf	Mangrove Shelf		Мангровая Полка	Mensola di mangrovia		Kořenovníková police	supa sinpin pi kasi telo	Mangrovenholzregal	Repisa de Mangle	Estantería de Mangle	Estantería de Mangle
block	cherry_shelf	Cherry Shelf		Вишнёвая Полка	Mensola di ciliegio		Třešňová police	supa sinpin pi kasi suwi	Kirschholzregal	Repisa de Cereza	Estantería de Cereza	Estantería de Cereza
block	crimson_shelf	Crimson Shelf		Багровая Полка	Mensola cremisi	真紅の壁掛け棚	Karmínová police	supa sinpin pi soko loje	Karmesinregal	Repisa Carmesí	Estantería Carmesí	Estantería Carmesí
block	warped_shelf	Warped Shelf		Искажëнная Полка	Mensola distorta	歪んだ壁掛け棚	Přízračná police	Přízračná police	Wirrregal	Repisa Distorsionado	Estantería Distorsionado	Estantería Distorsionado
block	stone_shelf	Stone Shelf		Каменная Полка	Mensola di pietra	石の壁掛け棚	Kamenná police	supa sinpin kiwen	Steinregal	Repisa de Piedra	Estantería de Piedra	Estantería de Piedra
block	quartz_shelf	Quartz Shelf		Кварцевая Полка	Mensola di quarzo		Křemenná police	supa sinpin pi kiwen walo seli	Quarzregal	Repisa de Cuarzo	Estantería de Cuarzo	Estantería de Cuarzo
