CATEGORY	NAME	EN_US	EN_GB	RU_RU	IT_IT	JA_JP	CS_CZ	TOK
root	translation_author	Translated by BubbleFish	Translated by BubbleFish	Перевод: BubbleFish	Tradotto da FBreakDance30	dorlonkho	Překlad: Unintegrated	ante toki: jan Insala (jan Unintegrated)
root	validate_pack_v1	%s Resource pack is successfully detected		%s Пакет ресурсов обнаружен успешно	%s Il pacchetto è stato rilevato con successo		%s Balíček modifikací byl úspěšně detekován	%s ilo li ken lukin e poki sitelen kalama
group	furniture	%s Furniture		%s Мебель	Mobili	家具	%s Nábytek	%s supa
group	technology	%s Technology		%s Технологии	Tecnologia	セキュリティー	%s Technologie	%s ilo
group	food	%s Food		%s Еда	Cibo	食べ物	%s Jídlo	%s moku
group	miscellaneous	%s Miscellaneous		%s Прочее	Varie	その他	%s Ostatní	%s ante
block	bubble_bench	Bubble Bench		Бабл Верстак	Banco bolla	バブルベンチ	Bubblův stůl	supa pali pi jan Papu
block	oak_table	Oak Table		Дубовый Стол	Tavolo di quercia	オークのテーブル	Dubový stůl	
block	spruce_table	Spruce Table		Еловый Стол	Tavolo di abete	トウヒのテーブル	Smrkový stůl	
block	birch_table	Birch Table		Берëзовый Стол	Tavolo di betulla	シラカバのテーブル	Březový stůl	
block	jungle_table	Jungle Table		Стол из тропического дерева	Tavolo della giungla	ジャングルのテーブル	Stůl z tropického dřeva	
block	acacia_table	Acacia Table		Акациевый Стол	Tavolo di acacia	アカシアのテーブル	Akáciový stůl	
block	bamboo_table	Bamboo Table		Стол из бамбука	Tavolo di bambù		Bambusový stůl	
block	dark_oak_table	Dark Oak Table		Стол из тëмного дуба	Tavolo di quercia scura	ダークオークのテーブル	Stůl z tmavého dubu	
block	mangrove_table	Mangrove Table		Мангровый Стол	Tavolo di mangrovia		Kořenovníkový stůl	
block	cherry_table	Cherry Table		Вишнёвый Стол	Tavolo di ciliegio		Třešňový stůl	
block	crimson_table	Crimson Table		Багровый Стол	Tavolo cremisi	真紅のテーブル	Karmínový stůl	
block	warped_table	Warped Table		Искажëнный Стол	Tavolo distorto	歪んだテーブル	Přízračný stůl	
block	stone_table	Stone Table		Каменный Стол	Tavolo di pietra	石のテーブル	Kamenný stůl	
block	quartz_table	Quartz Table		Кварцевый Стол	Tavolo di quarzo		Křemenný stůl	
block	deepslate_table	Deepslate Table		Глубинносланцевый Стол	Tavolo di ardesia profonda		Břidlicový stůl	
block	iron_table	Iron Table		Железный Стол	Tavolo di ferro		Železný stůl	
